country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630,5370,5080,4290,4100,3820,3450,3030,2840,2740,3040,3350,3380,3570,3660,3810,4050,4270,4470,4310,4580,4750,5030,5190,5430,,,,,
Kenya,,,,,,,,,,,,77.1,81.6,84.4,87,90.3,96.8,98.8,102,106,107,111,109,109,111,116,119,128,122,124,128,129,130,132,130,131,134,131,132,122,109,118,117,122,129,131,139,142,141,142,149,150,152,163,167,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,2320,2330,1910,1900,2070,1970,1800,1680,1800,1700,1450,1370,1640,1420,1370,1380,1460,1380,1320,1370,1640,1790,1870,1920,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,20.4,23.7,25.6,29.3,31.9,35.8,49.5,50.7,55,65.9,79.8,99.4,113,126,142,163,205,219,269,,,,,
South Korea,,,,,,,,,,,,296,344,397,459,502,578,659,780,881,914,972,1030,1140,1250,1340,1480,1670,1920,2100,2370,2590,2830,3090,3500,3880,4280,4650,4440,4880,5910,6310,6670,6980,7390,7800,8040,8460,8770,8880,9720,10.1k,10.3k,10.4k,10.5k,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1840,1820,1780,1970,2030,2110,2300,2570,2510,2630,2950,2860,2920,2820,,,,,
Kuwait,,,,,,,,,,,,2790,3280,3440,3610,3860,4040,4380,4790,5570,5520,5820,6470,6590,7020,7490,7940,8160,8510,8840,10.2k,7470,9710,11.4k,12.6k,12.6k,13.1k,13.3k,14.5k,14.8k,14.7k,15.2k,15.7k,16.8k,17k,17.3k,17.8k,17.1k,17.1k,16.7k,17k,16.1k,16.1k,15.3k,15.7k,,,,,
Lebanon,,,,,,,,,,,,506,554,627,674,618,660,701,749,827,862,911,981,1060,1090,1090,1150,1230,1040,638,389,763,900,1040,1130,1200,1610,1890,2260,2220,2230,2250,2380,2420,2390,2400,2300,2360,2480,2630,2990,3010,2630,2850,2550,,,,,
Libya,,,,,,,,,,,,185,200,389,445,555,656,771,865,1010,1050,1000,986,1000,1000,992,1040,1420,1530,1490,1570,1660,1760,1820,1830,1790,1810,1820,2120,2200,2240,2270,2780,2950,3090,3390,3730,3710,3070,3030,3210,2800,2280,2330,1790,,,,,
Sri Lanka,,,,,,,,,,,,58.6,65.2,67.5,68,72,73.7,75.7,82.3,90.4,96,102,111,118,122,133,143,144,148,146,160,168,176,192,209,224,210,233,249,259,287,281,292,314,342,387,390,407,413,412,446,488,506,526,531,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4020,3170,2490,2500,2540,2740,2730,2830,2700,2520,2700,2850,3090,3200,3190,3350,3560,3730,3620,3470,3530,3610,3660,3820,,,,,
Luxembourg,4550,4630,5090,7020,8690,9110,9540,9500,9210,10.3k,10.6k,11.9k,11.7k,11.8k,13.1k,10.6k,11.5k,10.4k,10.8k,11k,10.8k,11.1k,11k,11.1k,11.7k,12.1k,12.2k,12.3k,13.4k,13.5k,13.7k,14.1k,12.9k,12.6k,13.7k,14.9k,14.6k,15.1k,15.5k,15k,15.7k,15.6k,16k,16.3k,16.3k,15.6k,16.5k,16.4k,15.9k,14.4k,16.8k,15.6k,14.7k,14.2k,13.9k,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3290,2640,2050,1970,2000,1990,2060,2130,2070,2080,2210,2310,2490,2610,2780,2970,3170,3210,3030,3230,3260,3590,3470,3510,,,,,
Morocco,,,,,,,,,,,,132,146,159,164,169,185,199,213,229,243,255,268,286,288,300,312,317,347,341,366,378,410,411,431,441,443,460,488,460,496,531,541,586,616,637,689,717,732,743,773,823,874,880,904,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4270,3690,3210,2760,2610,2460,2320,2310,2170,2040,2250,2330,2620,2440,2550,2700,2480,2520,2170,2140,1830,1880,1680,1730,,,,,
Mexico,,,,,,,,,,,,514,558,589,634,663,702,744,801,847,893,934,990,1010,1050,1090,1110,1160,1190,1250,1200,1310,1330,1330,1420,1430,1460,1540,1650,1700,1810,1840,1850,2000,1930,2000,2030,2050,2050,2000,2030,2230,2260,2150,2170,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,2630,2900,2580,2690,2780,2890,3000,3080,2870,2910,2810,2790,3160,3210,3470,3570,3770,3850,3610,3800,4150,3960,3830,3790,,,,,
Malta,,,,,,,,,,,,1010,1070,1210,1010,1110,1250,1360,1480,1600,1660,1750,1830,1860,1920,2110,2250,2490,2690,2850,2820,3600,3730,3720,3740,3920,3790,3830,3920,4200,4310,4290,4500,4870,4800,4910,4900,4870,4840,4430,4770,4870,5000,4920,4920,,,,,
Myanmar,,,,,,,,,,,,19.9,21.3,22.9,22.7,25.6,27.9,30.4,31.9,33.7,35,31.5,33.4,33.9,36.6,43.6,43.6,43.8,38.9,41.8,45.8,42.4,45.8,52.4,55.7,58.9,59.4,66.4,66.9,70.2,77.6,70.5,75.4,82.5,83.1,77.2,91.1,92.2,97.1,103,128,159,161,191,222,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310,6450,6560,6290,5010,5420,5740,5420,4570,4610,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1560,1570,1610,1620,1550,1370,1270,1150,1120,1130,1110,1080,1080,1050,1060,1070,1090,1130,1190,1250,1290,1330,1420,1370,1480,1490,1580,1880,1990,,,,,
Mozambique,,,,,,,,,,,,56.3,55.1,62.4,73.4,59.7,65.6,60.3,63.3,38.1,38.1,37.8,50,39,30.3,32,37.2,42.2,34.5,39.4,41.8,55.6,54.9,51.8,44,44.8,44.4,52.7,47.6,67.3,123,273,263,373,450,455,465,468,453,454,464,465,470,460,488,,,,,
Mauritius,,,,,,,,,,,,147,161,180,202,212,249,280,280,310,299,296,294,301,301,314,347,388,436,482,671,729,780,820,857,945,1020,1110,1210,1230,1360,1450,1470,1560,1610,1680,1740,1820,1880,1910,2000,2030,2080,2150,2180,,,,,
Malaysia,,,,,,,,,,,,332,368,398,424,456,495,564,597,659,700,727,762,797,840,862,900,938,1010,1090,1170,1280,1430,1550,1800,2020,2210,2490,2550,2670,2770,2780,2830,2920,2980,2860,3040,3240,3250,3890,4080,4030,4250,4410,4530,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,1040,1110,977,969,1050,996,1090,1150,1040,1070,1100,1150,1430,1500,1590,1600,1640,1590,1590,1620,1660,1680,1620,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,30.4,30,29.5,33.2,36.3,34.6,38.8,38.9,42.3,44,47.2,49.2,48.2,51.3,,,,,
Nigeria,,,,,,,,,,,,28.6,32.8,35.3,32.8,45.7,51.5,59.2,60.6,59.7,67.7,50.5,80.9,80.7,61.3,79.2,89.4,87.8,85.6,95.3,85.4,87.8,88.1,98.6,93.2,89.1,83.6,79.7,74.7,73.4,72.1,73,101,98,119,124,107,133,121,115,130,143,149,135,137,,,,,
Nicaragua,,,,,,,,,,,,223,242,221,260,269,304,335,324,250,260,268,277,293,296,289,284,298,293,322,307,300,302,292,279,292,312,351,343,331,348,347,357,373,399,420,432,466,480,485,514,536,577,594,575,,,,,
Netherlands,1350,1420,1530,1650,1780,1910,2090,2240,2490,2710,2950,3150,3410,3610,3740,3770,4010,4080,4250,4400,4360,4290,4240,4300,4410,4520,4570,4720,4920,5050,5220,5330,5440,5490,5640,5720,5910,6070,6260,6350,6510,6600,6640,6700,6880,6910,7030,7160,7170,6860,7010,7060,6880,6830,6710,,,,,
Curaçao,,,,,,,,,,,,4090,4310,4480,4580,4640,4670,4620,4730,4820,4880,4860,4950,4960,4570,4230,3440,3830,3940,4250,4660,4770,5160,5540,5880,6090,6300,6280,6770,7000,7290,7220,7280,7520,7570,7610,7240,7320,7150,7420,7470,7380,5060,4930,4800,,,,,
Norway,7680,8400,9390,9660,10.6k,11.4k,11.7k,12.3k,13.5k,13.2k,13.5k,14.1k,14.5k,15.5k,16.3k,16.3k,16.9k,16.5k,17.3k,18.9k,18.7k,19.4k,19.4k,20.5k,21.9k,22.6k,22.2k,22.8k,23k,22.9k,23.4k,23.8k,23.8k,24k,24.2k,24.5k,24k,24.3k,25.4k,25.1k,25k,25.6k,24.6k,23.2k,24.2k,25.1k,24.1k,24.9k,24.9k,23.9k,24.9k,23.5k,24.1k,23.8k,23k,,,,,
Nepal,,,,,,,,,,,,5.82,7.31,5.57,6.93,6.42,8.68,9.52,10.2,11.2,12,13.6,16.8,17.9,19.3,21.4,24.8,27,29.2,31.6,34.1,36,35.8,37.2,40,42.5,44.9,45.2,47.9,53.6,57.4,62.9,65.9,68.9,72.7,75.4,82.2,86.3,82.5,95.9,101,114,119,133,142,,,,,
New Zealand,2460,2620,2750,3080,3250,3510,3680,3710,3880,4090,4270,4690,5310,5530,5460,5800,6090,6150,6150,6180,6340,6500,6870,7300,7510,7560,7880,7900,8130,8470,8970,8840,8640,8910,8930,9110,9070,9090,9130,9140,9380,9420,9530,9410,9670,9670,9700,9640,9560,9400,9600,9460,9360,9090,9010,,,,,
Oman,,,,,,,,,,,,16.1,32.8,56.9,107,173,287,416,458,556,719,871,1040,1200,1420,1660,1980,1990,2090,2060,2250,2200,2300,2510,2580,2680,2720,2860,3100,3090,3180,3410,3520,3580,3890,4010,4320,4540,5020,5630,6090,6190,6090,6100,6490,,,,,
Pakistan,,,,,,,,,,,,90.3,87.8,97.6,103,107,104,106,117,134,129,139,149,160,172,187,201,214,238,246,257,274,307,308,316,327,327,329,311,320,333,336,341,362,378,406,426,418,382,394,398,389,386,415,408,,,,,
Panama,,,,,,,,,,,,528,574,634,621,640,682,721,702,805,782,796,845,913,866,900,925,970,876,837,838,883,916,964,1020,1070,1090,1180,1190,1230,1270,1300,1330,1370,1430,1460,1490,1580,1630,1650,1750,1830,1960,2020,2070,,,,,
Peru,,,,,,,,,,,,391,409,413,430,439,447,476,470,481,503,529,553,517,552,544,566,590,553,549,542,574,472,517,528,539,580,596,629,639,663,688,722,747,786,823,876,960,1040,1040,1110,1260,1240,1300,1340,,,,,
Philippines,,,,,,,,,,,,226,251,312,302,308,324,323,323,340,368,333,334,357,336,344,307,315,338,355,356,349,331,331,373,395,424,457,471,459,489,508,512,544,564,565,557,571,573,577,622,626,644,662,675,,,,,
Poland,905,988,1060,1090,1170,1250,1360,1480,1590,1700,1810,1960,2110,2260,2410,2590,2740,2870,2990,3010,3080,2880,2900,3040,3160,3260,3380,3520,3570,3540,3270,3090,2960,2980,2990,3060,3160,3210,3210,3170,3260,3260,3210,3320,3420,3440,3580,3660,3730,3590,3800,3880,3900,3940,3970,,,,,
North Korea,,,,,,,,,,,,865,892,919,948,977,992,1010,1020,1040,1050,1070,1080,1090,1100,1160,1140,1160,1230,1270,1190,1110,986,869,892,874,797,712,616,670,690,714,695,734,763,791,770,735,789,715,730,645,642,609,592,,,,,
Portugal,320,350,379,410,460,487,543,572,615,681,764,835,912,995,1080,1080,1140,1250,1340,1470,1560,1570,1640,1740,1770,1870,1970,2060,2200,2400,2540,2680,2820,2800,2870,3080,3200,3350,3550,3800,3990,4120,4270,4380,4530,4680,4830,4890,4850,4840,4960,4850,4740,4690,4660,,,,,
Paraguay,,,,,,,,,,,,84.7,92.4,109,117,121,135,163,195,223,252,276,273,279,306,308,351,403,452,468,528,548,583,654,731,817,828,866,873,893,923,911,926,884,877,919,984,1060,1110,1180,1280,1390,1480,1590,1690,,,,,
Qatar,,,,,,,,,,,,2400,2700,2600,2590,3240,3440,4030,5020,6910,7880,8390,8910,8930,9380,10.2k,10.7k,10.5k,10.4k,10.3k,10.4k,9630,10.4k,10.7k,10.9k,10.7k,11.7k,11.7k,13.1k,13k,13.2k,13.7k,14.3k,15k,15.9k,16.2k,16.3k,15k,14.1k,14.1k,16.3k,17.7k,18.9k,17k,16.9k,,,,,
Romania,,,,,,,,,,,,1630,1790,1910,2020,2210,2420,2550,2660,2690,2880,2950,2930,2970,3080,3130,3320,3280,3390,3410,2920,2520,2320,2270,2230,2330,2430,2250,2110,1940,1990,2070,2080,2240,2300,2370,2450,2530,2610,2390,2550,2640,2600,2490,2580,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690,6550,6110,5730,5190,5100,5020,4940,4850,5000,5200,5270,5300,5480,5630,5770,6100,6290,6400,6100,6410,6480,6610,6530,6580,,,,,
Saudi Arabia,,,,,,,,,,,,530,586,678,820,870,1180,1350,1790,2580,3160,3610,4280,4410,4920,4940,5440,5790,5880,5970,6130,6190,6500,6900,6910,6910,6840,6920,7250,7330,7240,7400,7360,7770,7470,7660,7810,7820,8010,8220,9120,9030,9470,9560,10.3k,,,,,
Sudan,,,,,,,,,,,,30.8,32.2,37.6,43,44.2,44.8,45.8,47.4,46.2,41.2,37.8,38.8,36.5,49.2,53,59,60,52.9,49.8,58.2,56.3,56.5,54.2,55.9,55.2,56,52.7,51.2,75.7,78,65.5,76.7,81.3,82.3,97.3,109,117,128,147,171,186,207,210,251,,,,,
Senegal,,,,,,,,,,,,70.4,71.3,76.6,76.2,79.3,82.5,87.5,92.9,97.5,98.4,102,92.1,102,106,101,98.6,100,102,98,101,100,107,102,108,107,108,116,120,116,101,122,145,125,138,158,158,183,160,192,204,205,217,216,230,,,,,
Singapore,,,,,,,,,,,,1150,1370,1600,1630,1730,1880,2070,2370,2530,2720,2780,2810,3050,3260,3440,3690,4090,4400,4640,4980,5100,5240,5500,5840,6070,6310,6830,6970,7190,7580,7520,7760,8110,8310,8680,8720,8710,8400,8110,8680,8650,8670,8680,8840,,,,,
El Salvador,,,,,,,,,,,,170,182,205,217,212,242,262,284,292,277,265,262,282,291,299,302,318,325,323,344,361,373,425,461,494,506,546,563,582,609,622,664,693,692,761,828,896,870,861,873,898,934,979,957,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,4410,4300,3520,3460,3790,4130,4290,4300,3980,4200,4430,4480,4330,4260,3920,4040,4160,4290,4220,4360,4490,4390,4440,4270,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39.9,40.9,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,2310,2470,2390,2490,2660,2660,2660,2920,2910,2870,3190,3190,3490,3460,,,,,
Slovak Republic,,,,,,,,,,,,2700,2830,3030,3140,3110,3260,3410,3470,3810,4360,4410,4440,4520,4620,4840,4940,5090,5150,5270,5540,5120,4700,4570,4580,4930,5150,5070,4680,5030,4960,5030,5050,5020,5100,4930,5150,5270,5290,4950,5200,5350,5140,5200,5140,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330,5090,4940,4950,5240,5310,5370,5430,5570,5680,5780,6010,6380,6580,6830,6920,7120,7140,6920,6100,6510,6750,6720,6780,6730,,,,,
Sweden,4000,4360,4610,4730,5190,5520,5630,6020,6510,7020,7320,7670,8130,8750,8790,9050,9750,9830,10.1k,10.7k,10.7k,11.1k,11.4k,12.6k,13.7k,15k,14.9k,15.7k,15.9k,15.7k,15.8k,15.9k,15.5k,15.5k,15.3k,15.5k,15.4k,15.4k,15.5k,15.5k,15.7k,16k,15.7k,15.4k,15.4k,15.4k,15.3k,15.3k,14.9k,14.1k,14.9k,14k,14.3k,13.9k,13.5k,,,,,
Syria,,,,,,,,,,,,176,201,182,210,236,229,223,287,315,355,414,522,603,592,620,607,589,625,672,682,692,692,676,738,817,877,900,945,1000,1050,1130,1210,1260,1360,1460,1490,1470,1490,1460,1730,1540,1220,966,899,,,,,
Togo,,,,,,,,,,,,60.4,57.9,52.3,67.3,69.5,65.2,98.8,112,71.1,58.5,62.7,69.3,63,72,73.2,72.7,76.8,76.9,81.6,85.8,79.7,87.9,67,76.3,96.6,99,100,101,108,91.2,94.9,92.4,98.9,103,105,104,97.9,100,118,118,129,138,138,148,,,,,
Thailand,,,,,,,,,,,,124,144,167,171,190,214,242,271,289,302,310,332,362,394,420,450,501,558,637,733,815,914,1020,1120,1260,1380,1410,1360,1360,1450,1500,1610,1710,1810,1900,1980,2050,2070,2060,2260,2230,2390,2450,2470,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,3120,2910,2510,2460,2330,2240,1980,2040,2160,2140,2110,2110,2100,2120,2110,2100,2040,1910,1880,1860,1780,1730,1660,1470,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,2160,1980,2050,1670,1570,1450,1180,1560,1400,1670,1740,1720,1670,1820,1930,1980,2090,2140,2160,2180,2200,2200,2300,2410,,,,,
Trinidad and Tobago,,,,,,,,,,,,988,1090,1080,1110,1090,1220,1350,1420,1670,1810,2010,2350,2500,2560,2550,2740,2860,2570,2460,2620,2580,2770,2730,2800,3010,3140,3510,3630,3670,3830,3930,3920,4580,4510,5150,5330,5700,5740,5760,6240,6420,6660,6920,7180,,,,,
Tunisia,,,,,,,,,,,,153,172,187,200,208,231,263,291,341,389,410,400,441,456,501,523,546,578,597,625,638,672,694,747,758,769,808,849,928,971,1030,1060,981,1020,1070,1090,1140,1170,1260,1350,1310,1390,1400,1430,,,,,
Turkey,89.5,93.7,108,116,127,138,150,162,176,196,212,234,263,283,298,343,403,444,462,472,480,504,528,540,596,640,676,746,781,843,895,929,1000,1070,1100,1180,1270,1380,1460,1500,1600,1560,1620,1730,1850,1970,2140,2330,2400,2290,2460,2670,2750,2750,2850,,,,,
Tanzania,,,,,,,,,,,,30.3,32,33.5,33.6,33.9,34.4,34.2,33.4,35.7,35.6,36.6,34.7,32.8,33.4,35,39.1,39.4,42.8,45.2,49.9,53.3,52.5,48,48.6,56.3,60.3,55.1,59.9,55.4,57.8,61.5,66.8,66.8,78.3,78.1,64.2,80.3,84.9,71.5,95.7,86.7,97.1,99.5,103,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770,4630,4300,3940,3460,3340,3050,2950,2830,2780,2760,2770,2820,2970,3120,3210,3360,3490,3490,3190,3510,3610,3590,3550,3370,,,,,
Uruguay,,,,,,,,,,,,735,696,701,696,751,792,831,903,920,992,1030,1030,1030,1040,1070,1110,1160,1250,1210,1250,1350,1370,1460,1500,1600,1660,1760,1840,1950,2060,2030,2030,1910,1950,2020,2250,2450,2620,2700,2850,2860,2980,3040,3130,,,,,
USA,4050,4180,4430,4690,4970,5230,5590,5890,6390,6900,7240,7520,8080,8570,8450,8520,8970,9340,9560,9700,9860,9980,9540,9740,10.3k,10.4k,10.4k,10.9k,11.3k,11.5k,11.7k,12.1k,12k,12.3k,12.5k,12.7k,12.9k,12.9k,13.2k,13.3k,13.7k,13k,13.3k,13.3k,13.4k,13.7k,13.6k,13.7k,13.7k,12.9k,13.4k,13.2k,13k,13k,13k,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,2320,2120,2010,1920,1830,1820,1810,1770,1730,1770,1760,1770,1750,1750,1700,1740,1650,1640,1630,1660,1660,1640,1670,1670,,,,,
Venezuela,,,,,,,,,,,,1050,1110,1160,1220,1230,1290,1400,1540,1830,2010,2240,2060,2210,2340,2320,2320,2430,2590,2470,2450,2520,2660,2670,2640,2620,2640,2670,2630,2570,2630,2700,2720,2630,2760,2850,2960,2980,3080,3050,3150,3220,3280,3280,2700,,,,,
Vietnam,,,,,,,,,,,,42.3,39.5,41.3,35.6,40.7,48.4,55.3,55.9,54.7,55.8,56.1,58.6,57.9,67,70.1,73.3,80.4,87.8,95.1,98.9,103,106,116,134,159,187,211,242,262,297,338,391,448,500,589,664,744,813,913,1030,1110,1210,1280,1420,,,,,
Yemen,,,,,,,,,,,,28.8,28.8,26.8,30.4,31.6,35.9,36.7,40.3,42.7,52.7,54.9,64,65.2,70.4,71.9,81.7,84.2,92.1,90.7,106,114,116,120,108,114,110,122,119,118,127,131,137,147,153,162,170,185,201,197,221,167,167,215,188,,,,,
South Africa,,,,,,,,,,,,2210,2360,2460,2580,2700,2820,2890,3030,3240,3400,3530,3580,3590,3790,3840,3890,3840,3880,3870,3830,3740,3640,3680,3750,3870,4410,4540,4350,4240,4370,4120,4350,4390,4430,4490,4580,4720,4540,4320,4440,4480,4290,4210,4120,,,,,
Zambia,,,,,,,,,,,,993,1050,1100,1170,1140,1170,1110,1070,1050,1050,1090,1070,1050,1010,968,921,906,960,804,786,761,760,766,757,736,711,663,606,610,621,641,664,680,698,701,707,661,582,557,575,614,711,724,695,,,,,
Zimbabwe,,,,,,,,,,,,662,844,867,903,978,1040,957,908,964,993,969,956,899,847,956,893,902,882,910,891,879,802,753,805,856,897,924,888,930,897,869,869,862,832,863,839,728,600,558,577,603,578,599,583,,,,,
